COR_APELIDO;DESCRICAO_COMPONENTE;CODIGO_COMPONENTE
AMARELO DOURADO;TINTA EM PO AMARELO DOURADO;504010130069
amarelo dourado free;TINTA HIBRID TGIC FREE AMARELO DOURADO;504010130088
azul clarinho;TINTA EM PO AZUL CLARINHO 283;504010130042
AZUL CLARINHOFREE;TINTA HIBRID TGIC FREE AZUL BEBE;504010130087
azul escuro;TINTA EM PO AZUL ESCURO;504010130006
AZUL ESCURO;TINTA EM PO AZUL ESCURO;504010130006
azul flex;TINTA HIBRID TGIC FREE AZUL FLEX;504010130098
AZUL FLEX;TINTA HIBRID TGIC FREE AZUL FLEX;504010130098
AZUL FLEX FREE TGIC;TINTA HIBRID TGIC FREE AZUL FLEX;504010130098
AZUL FLEX  MAS;TINTA EM PO AZUL BRILHANTE FLEX;504010130027
branco;TINTA EM PO BRANCA;504010130001
BRANCO;TINTA EM PO BRANCA;504010130001
BRANCO c /furo;TINTA EM PO BRANCA;504010130001
BRANCO FREE TGIC;TINTA HIBRID TGIC FREE BRANCA;504010130086
C FURO ROSA CLARO;TINTA EM PO ROSA CLARO;504010130015
cinza;TINTA EM PO CINZA;504010130071
CORAL PINK;TINTA EM PO CORAL PINK;504010130072
free tgic preto;TINTA HIBRID TGIC FREE PRETO GRAFITE;504010130092
FREE TGIC VERDE AQUA;TINTA HIBRID TGIC FREE VERDE AQUA PEROL;504010130089
grafite;TINTA EM PO GRAFITE METALICO FOSCO;504010130021
grafite /RETRABALHO;TINTA EM PO GRAFITE METALICO FOSCO;504010130021
laranja;TINTA EM PO LARANJA FOSCO;504010130019
lilas;TINTA EM PO LILAS - BANDEIRANTES;504010130025
LILAS;TINTA EM PO LILAS - BANDEIRANTES;504010130025
prata;TINTA EM PO CINZA;504010130071
PRATA FREE TGIC;TINTA HIBRID TGIC FREE PRATA;504010130085
preto;TINTA EM PO PRETA;504010130007
PRETO;TINTA EM PO PRETA;504010130007
PRETO,;TINTA EM PO PRETA;504010130007
preto fosco;TINTA EM PO PRETO FOSCO;504010130061
PRETO FOSCO;TINTA EM PO PRETO FOSCO;504010130061
preto free tgic;TINTA HIBRID TGIC FREE PRETO GRAFITE;504010130092
PRETO FREE TGIC;TINTA HIBRID TGIC FREE PRETO GRAFITE;504010130092
RAIADA PRETO FOSC;TINTA EM PO PRETO FOSCO;504010130061
rosa 26;TINTA POLIESTER ROSA METALICO ARO 26;504010130037
ROSA 26;TINTA POLIESTER ROSA METALICO ARO 26;504010130037
rosa 26 c/ch c/abr;TINTA POLIESTER ROSA METALICO ARO 26;504010130037
rosa 26 free tgic;TINTA HIBRID TGIC FREE ROSA PEROLIZADO;504010130097
ROSA CHICLETE;TINTA EM PO ROSA CHICLETE;504010130067
rosa claro;TINTA EM PO ROSA CLARO;504010130015
rosa claro,;TINTA EM PO ROSA CLARO;504010130015
ROSA CLARO;TINTA EM PO ROSA CLARO;504010130015
rosa claro c/ abra̤a;TINTA EM PO ROSA CLARO;504010130015
ROSA CLARO FREE;TINTA HIBRID TGIC FREE ROSA BEBE;504010130090
rosa claro free tgic;TINTA HIBRID TGIC FREE ROSA BEBE;504010130090
rosa claro free  tgic  c/re;TINTA HIBRID TGIC FREE ROSA BEBE;504010130090
rosa escuro;TINTA EM PO ROSA ESCURO;504010130002
ROSA ESCURO;TINTA HIBRID TGIC FREE ROSA ESCURO;504010130084
rosa pe /free tgic;TINTA HIBRID TGIC FREE ROSA PEROLIZADO;504010130097
verde aqua c furo;TINTA POLIEST VERDE AQUA METALICO ARO 2 6;504010130039
vermelho;TINTA EM PO VERMELHO;504010130010
VERMELHO;TINTA EM PO VERMELHO;504010130010
w eco;TINTA EM PO PRETO W-ECO;504010130074
W ECO;TINTA EM PO PRETO W-ECO;504010130074
