CODIGO_COMPONENTE;DESCRICAO_COMPONENTE
504010130069;TINTA EM PO AMARELO DOURADO
504010130027;TINTA EM PO AZUL BRILHANTE FLEX
504010130042;TINTA EM PO AZUL CLARINHO 283
504010130006;TINTA EM PO AZUL ESCURO
504010130050;TINTA EM PO AZUL MARINHO
504010130068;TINTA EM PO AZUL RAL 5019
504010130001;TINTA EM PO BRANCA
504010130071;TINTA EM PO CINZA
504010130072;TINTA EM PO CORAL PINK
504010130021;TINTA EM PO GRAFITE METALICO FOSCO
504010130019;TINTA EM PO LARANJA FOSCO
504010130025;TINTA EM PO LILAS - BANDEIRANTES
504010130082;TINTA EM PO MARROM CAFE
504010130007;TINTA EM PO PRETA
504010130061;TINTA EM PO PRETO FOSCO
504010130074;TINTA EM PO PRETO W-ECO
504010130067;TINTA EM PO ROSA CHICLETE
504010130015;TINTA EM PO ROSA CLARO
504010130002;TINTA EM PO ROSA ESCURO
504010130028;TINTA EM PO VERDE 26R LI
504010130010;TINTA EM PO VERMELHO
504010130088;TINTA HIBRID TGIC FREE AMARELO DOURADO
504010130087;TINTA HIBRID TGIC FREE AZUL BEBE
504010130098;TINTA HIBRID TGIC FREE AZUL FLEX
504010130086;TINTA HIBRID TGIC FREE BRANCA
504010130095;TINTA HIBRID TGIC FREE CINZA GRAFITE
504010130091;TINTA HIBRID TGIC FREE LARANJA
504010130085;TINTA HIBRID TGIC FREE PRATA
504010130093;TINTA HIBRID TGIC FREE PRETO FOSCO
504010130092;TINTA HIBRID TGIC FREE PRETO GRAFITE
504010130090;TINTA HIBRID TGIC FREE ROSA BEBE
504010130084;TINTA HIBRID TGIC FREE ROSA ESCURO
504010130097;TINTA HIBRID TGIC FREE ROSA PEROLIZADO
504010130089;TINTA HIBRID TGIC FREE VERDE AQUA PEROL
504010130094;TINTA HIBRID TGIC FREE VERMELHO
504010130049;TINTA POLIESTER AMARELO LISO BRI ARO 26
504010130040;TINTA POLIESTER BEGE METALICO ARO 26
504010130037;TINTA POLIESTER ROSA METALICO ARO 26
504010130039;TINTA POLIESTER VERDE AQUA METALICO ARO 26
