CODIGO_COR,DESCRICAO_COR,QUANTIDADE,VARIACOES_APELIDO,DESC_COR
504010130001,TINTA EM PO BRANCA,3,"['branco', 'branco c /furo']",branca
504010130002,TINTA EM PO ROSA ESCURO,1,['rosa escuro'],rosa escuro
504010130006,TINTA EM PO AZUL ESCURO,2,['azul escuro'],azul escuro
504010130007,TINTA EM PO PRETA,3,['preto'],preta
504010130010,TINTA EM PO VERMELHO,2,['vermelho'],vermelho
504010130015,TINTA EM PO ROSA CLARO,5,"['c furo rosa claro', 'rosa claro', 'rosa claro c/ abraã§a']",rosa claro
504010130019,TINTA EM PO LARANJA FOSCO,1,['laranja'],laranja fosco
504010130021,TINTA EM PO GRAFITE METALICO FOSCO,2,"['grafite', 'grafite /retrabalho']",grafite metalico fosco
504010130025,TINTA EM PO LILAS - BANDEIRANTES,2,['lilas'],lilas - bandeirantes
504010130027,TINTA EM PO AZUL BRILHANTE FLEX,1,['azul flex  mas'],azul brilhante flex
504010130037,TINTA POLIESTER ROSA METALICO ARO 26,3,"['rosa 26', 'rosa 26 c/ch c/abr']",rosa metalico aro 26
504010130039,TINTA POLIEST VERDE AQUA METALICO ARO 2 6,1,['verde aqua c furo'],verde aqua metalico aro 2 6
504010130042,TINTA EM PO AZUL CLARINHO 283,1,['azul clarinho'],azul clarinho 283
504010130061,TINTA EM PO PRETO FOSCO,3,"['preto fosco', 'raiada preto fosc']",preto fosco
504010130067,TINTA EM PO ROSA CHICLETE,1,['rosa chiclete'],rosa chiclete
504010130069,TINTA EM PO AMARELO DOURADO,1,['amarelo dourado'],amarelo dourado
504010130071,TINTA EM PO CINZA,2,"['cinza', 'prata']",cinza
504010130072,TINTA EM PO CORAL PINK,1,['coral pink'],coral pink
504010130074,TINTA EM PO PRETO W-ECO,2,['w eco'],preto w-eco
504010130084,TINTA HIBRID TGIC FREE ROSA ESCURO,1,['rosa escuro'],tgic free rosa escuro
504010130085,TINTA HIBRID TGIC FREE PRATA,1,['prata free tgic'],tgic free prata
504010130086,TINTA HIBRID TGIC FREE BRANCA,1,['branco free tgic'],tgic free branca
504010130087,TINTA HIBRID TGIC FREE AZUL BEBE,1,['azul clarinhofree'],tgic free azul bebe
504010130088,TINTA HIBRID TGIC FREE AMARELO DOURADO,1,['amarelo dourado free'],tgic free amarelo dourado
504010130089,TINTA HIBRID TGIC FREE VERDE AQUA PEROL,1,['free tgic verde aqua'],tgic free verde aqua perol
504010130090,TINTA HIBRID TGIC FREE ROSA BEBE,3,"['rosa claro free', 'rosa claro free  tgic  c/re', 'rosa claro free tgic']",tgic free rosa bebe
504010130092,TINTA HIBRID TGIC FREE PRETO GRAFITE,3,"['free tgic preto', 'preto free tgic']",tgic free preto grafite
504010130097,TINTA HIBRID TGIC FREE ROSA PEROLIZADO,2,"['rosa 26 free tgic', 'rosa pe /free tgic']",tgic free rosa perolizado
504010130098,TINTA HIBRID TGIC FREE AZUL FLEX,3,"['azul flex', 'azul flex free tgic']",tgic free azul flex
